document_id,clean_text,sentiment
168,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
169,marketing entertaining actual movie no review added viewer,neutral
170,somewhat jumbled mess no review added viewer,neutral
171,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
172,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
173,technicolor dream no review added viewer,neutral
174,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
175,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
176,mom saw yesterday thoughts no review added viewer,neutral
177,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
178,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
179,brilliant observations social depth missing no review added viewer,neutral
180,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
181,reasons seeing reason no review added viewer,neutral
182,overrated no review added viewer,neutral
183,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
184,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
185,heavy handed no review added viewer,neutral
186,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
187,amazing cast set political message strong no review added viewer,positive
188,hot pink mess no review added viewer,neutral
189,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
190,depressing no review added viewer,neutral
191,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
192,marketing entertaining actual movie no review added viewer,neutral
193,somewhat jumbled mess no review added viewer,neutral
194,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
195,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
196,technicolor dream no review added viewer,neutral
197,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
198,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
199,mom saw yesterday thoughts no review added viewer,neutral
200,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
201,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
202,brilliant observations social depth missing no review added viewer,neutral
203,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
204,reasons seeing reason no review added viewer,neutral
205,overrated no review added viewer,neutral
206,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
207,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
208,heavy handed no review added viewer,neutral
209,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
210,amazing cast set political message strong no review added viewer,positive
211,hot pink mess no review added viewer,neutral
212,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
213,depressing no review added viewer,neutral
214,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
215,marketing entertaining actual movie no review added viewer,neutral
216,somewhat jumbled mess no review added viewer,neutral
217,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
218,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
219,technicolor dream no review added viewer,neutral
220,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
221,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
222,mom saw yesterday thoughts no review added viewer,neutral
223,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
224,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
225,brilliant observations social depth missing no review added viewer,neutral
226,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
227,reasons seeing reason no review added viewer,neutral
228,overrated no review added viewer,neutral
229,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
230,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
231,heavy handed no review added viewer,neutral
232,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
233,amazing cast set political message strong no review added viewer,positive
234,hot pink mess no review added viewer,neutral
235,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
236,depressing no review added viewer,neutral
237,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
238,marketing entertaining actual movie no review added viewer,neutral
239,somewhat jumbled mess no review added viewer,neutral
240,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
241,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
242,technicolor dream no review added viewer,neutral
243,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
244,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
245,mom saw yesterday thoughts no review added viewer,neutral
246,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
247,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
248,brilliant observations social depth missing no review added viewer,neutral
249,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
250,reasons seeing reason no review added viewer,neutral
251,overrated no review added viewer,neutral
252,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
253,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
254,heavy handed no review added viewer,neutral
255,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
256,amazing cast set political message strong no review added viewer,positive
257,hot pink mess no review added viewer,neutral
258,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
259,depressing no review added viewer,neutral
260,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
261,marketing entertaining actual movie no review added viewer,neutral
262,somewhat jumbled mess no review added viewer,neutral
263,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
264,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
265,technicolor dream no review added viewer,neutral
266,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
267,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
268,mom saw yesterday thoughts no review added viewer,neutral
269,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
270,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
271,brilliant observations social depth missing no review added viewer,neutral
272,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
273,reasons seeing reason no review added viewer,neutral
274,overrated no review added viewer,neutral
275,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
276,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
277,heavy handed no review added viewer,neutral
278,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
279,amazing cast set political message strong no review added viewer,positive
280,hot pink mess no review added viewer,neutral
281,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
282,depressing no review added viewer,neutral
283,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
284,marketing entertaining actual movie no review added viewer,neutral
285,somewhat jumbled mess no review added viewer,neutral
